StationKey,Type,LocationName,ID,Zip,ZipID,Latitude,Longitude,City,State,Country,AirportRank
CHIA,Station,CHIA,CHIA,60603,ZIP: 60603,41.88022,-87.62549,CHICAGO,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60604,ZIP: 60604,41.87814,-87.62837,CHICAGO,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60605,ZIP: 60605,41.86684,-87.61983,CHICAGO,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60606,ZIP: 60606,41.88195,-87.63731,CHICAGO,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60607,ZIP: 60607,41.87503,-87.65157,CHICAGO,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60608,ZIP: 60608,41.84878,-87.67131,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60609,ZIP: 60609,41.81252,-87.6556,CHICAGO,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60610,ZIP: 60610,41.90487,-87.63615,CHESTNUT STREET,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60611,ZIP: 60611,41.89472,-87.61938,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60612,ZIP: 60612,41.88033,-87.68765,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60613,ZIP: 60613,41.95586,-87.65781,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60614,ZIP: 60614,41.92273,-87.65131,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60615,ZIP: 60615,41.80223,-87.60259,CHICAGO,Illinois,United States,null
CHIA,Station,CGXA,CGXA,60616,ZIP: 60616,41.84525,-87.62725,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60617,ZIP: 60617,41.71591,-87.55432,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60618,ZIP: 60618,41.947,-87.70244,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60619,ZIP: 60619,41.74365,-87.60557,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60620,ZIP: 60620,41.7408,-87.65252,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60621,ZIP: 60621,41.77639,-87.63943,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60622,ZIP: 60622,41.90275,-87.6833,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60623,ZIP: 60623,41.84808,-87.71778,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60624,ZIP: 60624,41.88056,-87.72335,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60625,ZIP: 60625,41.97341,-87.7002,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60626,ZIP: 60626,42.00903,-87.66962,CHICAGO,Illinois,United States,null
JOTA,Station,JOTA,JOTA,60627,ZIP: 60627,null,null,RIVERDALE,null,United States,null
CHIA,Station,GYYA,GYYA,60628,ZIP: 60628,41.69176,-87.61796,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60629,ZIP: 60629,41.77567,-87.71176,CHICAGO,Illinois,United States,null
NBUA,Station,LOTA,LOTA,60630,ZIP: 60630,41.97213,-87.75709,CHICAGO,Illinois,United States,null
PWKA,Station,PWKA,PWKA,60631,ZIP: 60631,41.99474,-87.81318,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60632,ZIP: 60632,41.81133,-87.71335,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60633,ZIP: 60633,41.66435,-87.56136,BURNHAM,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60634,ZIP: 60634,41.94634,-87.80606,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60635,ZIP: 60635,null,null,ELMWOOD PARK,null,United States,null
CHIA,Station,GYYA,GYYA,60636,ZIP: 60636,41.77575,-87.66911,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60637,ZIP: 60637,41.78143,-87.60318,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60638,ZIP: 60638,41.78145,-87.77056,BEDFORD PARK,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60639,ZIP: 60639,41.92058,-87.75607,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60640,ZIP: 60640,41.97237,-87.66347,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60641,ZIP: 60641,41.94663,-87.74669,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60642,ZIP: 60642,41.90161,-87.65803,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60643,ZIP: 60643,41.69955,-87.66276,CALUMET PARK,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60644,ZIP: 60644,41.8802,-87.75751,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60645,ZIP: 60645,42.00853,-87.6948,CHICAGO,Illinois,United States,null
NBUA,Station,LOTA,LOTA,60646,ZIP: 60646,41.99301,-87.7596,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60647,ZIP: 60647,41.92065,-87.70175,CHICAGO,Illinois,United States,null
ORDDB,Station,ORDDB,ORDDB,60648,ZIP: 60648,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60649,ZIP: 60649,41.76303,-87.57036,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60650,ZIP: 60650,null,null,CHICAGO,null,United States,null
BDFA,Station,BDFA,BDFA,60651,ZIP: 60651,41.90208,-87.74089,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60652,ZIP: 60652,41.74795,-87.71479,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60653,ZIP: 60653,41.81924,-87.61007,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60654,ZIP: 60654,41.89228,-87.63727,CHICAGO,Illinois,United States,null
CHIA,Station,GYYA,GYYA,60655,ZIP: 60655,41.69476,-87.70379,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60656,ZIP: 60656,41.97424,-87.82692,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60657,ZIP: 60657,41.93991,-87.65382,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60658,ZIP: 60658,null,null,CHICAGO,null,United States,null
NBUA,Station,NBUA,NBUA,60659,ZIP: 60659,41.99108,-87.70416,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60660,ZIP: 60660,41.99111,-87.66605,CHICAGO,Illinois,United States,null
CHIA,Station,CHIA,CHIA,60661,ZIP: 60661,41.88309,-87.64401,CHICAGO,Illinois,United States,null
FIMZ,Station,FIMZ,FIMZ,60662,ZIP: 60662,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60663,ZIP: 60663,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60664,ZIP: 60664,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60665,ZIP: 60665,null,null,CHICAGO,null,United States,null
PWKA,Station,SQIA,SQIA,60666,ZIP: 60666,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60667,ZIP: 60667,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60668,ZIP: 60668,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60669,ZIP: 60669,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60670,ZIP: 60670,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60671,ZIP: 60671,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60672,ZIP: 60672,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60673,ZIP: 60673,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60674,ZIP: 60674,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60675,ZIP: 60675,null,null,CHICAGO,null,United States,null
NOHA,Station,NOHA,NOHA,60677,ZIP: 60677,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60678,ZIP: 60678,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60679,ZIP: 60679,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60680,ZIP: 60680,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60681,ZIP: 60681,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60682,ZIP: 60682,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60683,ZIP: 60683,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60684,ZIP: 60684,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60685,ZIP: 60685,null,null,CHICAGO,null,United States,null
BDFA,Station,BDFA,BDFA,60686,ZIP: 60686,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60687,ZIP: 60687,null,null,CHICAGO,null,United States,null
PWKA,Station,SQIA,SQIA,60688,ZIP: 60688,null,null,CHICAGO,null,United States,null
BDFA,Station,BDFA,BDFA,60689,ZIP: 60689,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60690,ZIP: 60690,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60691,ZIP: 60691,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60693,ZIP: 60693,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60694,ZIP: 60694,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60695,ZIP: 60695,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60696,ZIP: 60696,null,null,CHICAGO,null,United States,null
CHIA,Station,CHIA,CHIA,60697,ZIP: 60697,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60699,ZIP: 60699,null,null,CHICAGO,null,United States,null
CHIA,Station,GYYA,GYYA,60701,ZIP: 60701,null,null,CHICAGO,null,United States,null
PWKA,Station,WWTA,WWTA,60705,ZIP: 60705,null,null,CHICAGO,null,United States,null
BDFA,Station,BDFA,BDFA,60706,ZIP: 60706,41.96425,-87.81624,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60707,ZIP: 60707,41.9218,-87.80724,CHICAGO,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60712,ZIP: 60712,42.00545,-87.7333,CHICAGO,Illinois,United States,null
PWKA,Station,PWKA,PWKA,60714,ZIP: 60714,42.02805,-87.81098,NILES,Illinois,United States,null
NBUA,Station,NBUA,NBUA,60799,ZIP: 60799,null,null,CHICAGO,null,United States,null
BDFA,Station,BDFA,BDFA,60803,ZIP: 60803,41.6721,-87.73568,ALSIP,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60804,ZIP: 60804,41.83783,-87.76014,CHICAGO,Illinois,United States,null
BDFA,Station,BDFA,BDFA,60805,ZIP: 60805,41.722,-87.70244,CHICAGO,Illinois,United States,null
JOTA,Station,JOTA,JOTA,60827,ZIP: 60827,41.64956,-87.63016,CALUMET PARK,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60901,ZIP: 60901,41.11084,-87.89814,IRWIN,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60902,ZIP: 60902,null,null,KANKAKEE,null,United States,null
IKKA,Station,IKKA,IKKA,60910,ZIP: 60910,41.07877,-87.80859,AROMA PARK,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60911,ZIP: 60911,40.87802,-87.98018,ASHKUM,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60912,ZIP: 60912,40.97003,-87.59935,BEAVERVILLE,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60913,ZIP: 60913,41.14701,-88.06177,BONFIELD,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60914,ZIP: 60914,41.18671,-87.86195,BOURBONNAIS,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60915,ZIP: 60915,41.14681,-87.86108,BRADLEY,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60917,ZIP: 60917,41.04413,-88.18728,BUCKINGHAM,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60918,ZIP: 60918,40.5962,-88.03048,BUCKLEY,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60919,ZIP: 60919,40.98745,-88.23835,CABERY,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60920,ZIP: 60920,41.02926,-88.30496,CAMPUS,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60921,ZIP: 60921,40.73772,-88.28784,CHATSWORTH,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60922,ZIP: 60922,41.00413,-87.91867,CHEBANSE,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60924,ZIP: 60924,40.55778,-87.88532,CISSNA PARK,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60925,ZIP: 60925,null,null,CLARENCE,null,United States,null
IKKA,Station,IKKZJ,IKKZJ,60926,ZIP: 60926,40.57234,-87.80962,CLAYTONVILLE,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60927,ZIP: 60927,40.93931,-87.96804,CLIFTON,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60928,ZIP: 60928,40.74163,-87.84902,CRESCENT CITY,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60929,ZIP: 60929,40.87497,-88.28915,CULLOM,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60930,ZIP: 60930,40.82989,-88.00256,DANFORTH,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60931,ZIP: 60931,40.89039,-87.58523,DONOVAN,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60932,ZIP: 60932,40.46333,-87.80563,EAST LYNN,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60933,ZIP: 60933,40.4647,-88.27192,ELLIOTT,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60934,ZIP: 60934,40.96171,-88.3512,EMINGTON,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60935,ZIP: 60935,41.17297,-88.17608,ESSEX,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60936,ZIP: 60936,40.46679,-88.35707,GARBER,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60938,ZIP: 60938,40.77329,-87.98865,GILMAN,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60939,ZIP: 60939,null,null,GOODWINE,null,United States,null
IKKA,Station,IKKA,IKKA,60940,ZIP: 60940,41.2506,-87.64282,GRANT PARK,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60941,ZIP: 60941,41.04201,-88.0821,HERSCHER,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60942,ZIP: 60942,40.46563,-87.66092,HOOPESTON,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60944,ZIP: 60944,null,null,HOPKINS PARK,null,United States,null
IKKA,Station,IKKZJ,IKKZJ,60945,ZIP: 60945,40.82829,-87.58373,IROQUOIS,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60946,ZIP: 60946,40.91652,-88.20291,KEMPTON,Illinois,United States,null
